scenario_name,scenario_var,model_ver,Code,Long.Name,survival
gelatinous zooplankton increase,1_2,1,CHC,Chinook Hood Canal Subyearling,8.79023976611346e-5
gelatinous zooplankton increase,1_2,1,CHS,Chinook Hatch Subyearling,0.2274899884707195
gelatinous zooplankton increase,1_2,1,CHY,Chinook Hatch Yearling,0.2271846775314443
gelatinous zooplankton increase,1_2,1,CKS,Chinook other Subyearling,0.24796110587709225
gelatinous zooplankton increase,1_2,1,CMF,Chum Fall Subyearling,0.7144566767821954
gelatinous zooplankton increase,1_2,1,CMH,Chum Hood Canal summer run Subyearling,0.6038804815607539
gelatinous zooplankton increase,1_2,1,CMS,Chum Hatch Subyearling,0.7304268846602882
gelatinous zooplankton increase,1_2,1,CNS,Chinook Nisqually Subyearling,5.496128458353006e-4
gelatinous zooplankton increase,1_2,1,CNY,Chinook Nisqually Yearling,0.06528995224277298
gelatinous zooplankton increase,1_2,1,COD,Coho Deep South Yearling,0.18572319438209034
gelatinous zooplankton increase,1_2,1,COH,Coho Hatch Yearling,0.24395108665536758
gelatinous zooplankton increase,1_2,1,COS,Coho Skagit Yearling,0.502648177179641
gelatinous zooplankton increase,1_2,1,COY,Coho other Yearling,0.6522625854165076
gelatinous zooplankton increase,1_2,1,CSN,Chinook Snohomish Subyearling,0.08328654420655082
gelatinous zooplankton increase,1_2,1,CSS,Chinook Skagit Subyearling,0.006793932149875513
gelatinous zooplankton increase,1_2,1,CSY,Chinook Skagit Yearling,0.14227151225304738
gelatinous zooplankton increase,1_2,1,CYE,Chinook other Yearling,0.20336979465037214
gelatinous zooplankton increase,1_2,1,PIS,Pink Salmon Subyearling,0.7800391147770837
gelatinous zooplankton increase,1_2,1,SAF,Strait of Georgia salmonids,0.18449779498500177
gelatinous zooplankton increase,1_2,1,SAL,Other salmonids,0.628935156438394
gelatinous zooplankton increase,1_2,2,CDS,Chinook Duwamish Subyearling,0.484874968213887
gelatinous zooplankton increase,1_2,2,CHC,Chinook Hood Canal Subyearling,3.786131297194623e-4
gelatinous zooplankton increase,1_2,2,CHS,Chinook Hatch Subyearling,0.19165262930938395
gelatinous zooplankton increase,1_2,2,CHY,Chinook Hatch Yearling,0.0839740756823505
gelatinous zooplankton increase,1_2,2,CKS,Chinook other Subyearling,0.13692569525480056
gelatinous zooplankton increase,1_2,2,CMF,Chum Fall Subyearling,0.617836255917889
gelatinous zooplankton increase,1_2,2,CMH,Chum Hood Canal summer run Subyearling,0.45312570934536983
gelatinous zooplankton increase,1_2,2,CMS,Chum Hatch Subyearling,0.7226868306528459
gelatinous zooplankton increase,1_2,2,CNS,Chinook Nisqually Subyearling,3.186336058548909
gelatinous zooplankton increase,1_2,2,CNY,Chinook Nisqually Yearling,0.24109800725905017
gelatinous zooplankton increase,1_2,2,COD,Coho Deep South Yearling,0.25938910486015443
gelatinous zooplankton increase,1_2,2,COH,Coho Hatch Yearling,0.2659828120439907
gelatinous zooplankton increase,1_2,2,COS,Coho Skagit Yearling,0.5439784619436434
gelatinous zooplankton increase,1_2,2,COY,Coho other Yearling,0.6556396041510641
gelatinous zooplankton increase,1_2,2,CSN,Chinook Snohomish Subyearling,0.01741127255813073
gelatinous zooplankton increase,1_2,2,CSS,Chinook Skagit Subyearling,0.0015916809498753674
gelatinous zooplankton increase,1_2,2,CSY,Chinook Skagit Yearling,0.05735081283244419
gelatinous zooplankton increase,1_2,2,CYE,Chinook other Yearling,0.08903526410574565
gelatinous zooplankton increase,1_2,2,PIS,Pink Salmon Subyearling,0.8080371487497284
gelatinous zooplankton increase,1_2,2,SAF,Strait of Georgia salmonids,0.1959777790413173
gelatinous zooplankton increase,1_2,2,SAL,Other salmonids,0.48940258947887705
gelatinous zooplankton increase,1_2,3,CDS,Chinook Duwamish Subyearling,0.22599306251309312
gelatinous zooplankton increase,1_2,3,CHC,Chinook Hood Canal Subyearling,2.3600947378021194e-4
gelatinous zooplankton increase,1_2,3,CHS,Chinook Hatch Subyearling,0.27510207882311727
gelatinous zooplankton increase,1_2,3,CHY,Chinook Hatch Yearling,0.2897950851118892
gelatinous zooplankton increase,1_2,3,CKS,Chinook other Subyearling,0.3400593125537374
gelatinous zooplankton increase,1_2,3,CMF,Chum Fall Subyearling,0.47329309558671534
gelatinous zooplankton increase,1_2,3,CMH,Chum Hood Canal summer run Subyearling,0.5072693346635524
gelatinous zooplankton increase,1_2,3,CMS,Chum Hatch Subyearling,0.7118224939563585
gelatinous zooplankton increase,1_2,3,CNS,Chinook Nisqually Subyearling,0.6759136217148801
gelatinous zooplankton increase,1_2,3,CNY,Chinook Nisqually Yearling,0.06001928908318952
gelatinous zooplankton increase,1_2,3,COD,Coho Deep South Yearling,0.15293156061760982
gelatinous zooplankton increase,1_2,3,COH,Coho Hatch Yearling,0.2560918883252229
gelatinous zooplankton increase,1_2,3,COS,Coho Skagit Yearling,0.39396291203844164
gelatinous zooplankton increase,1_2,3,COY,Coho other Yearling,0.6438346207381048
gelatinous zooplankton increase,1_2,3,CSN,Chinook Snohomish Subyearling,0.11304666193955917
gelatinous zooplankton increase,1_2,3,CSS,Chinook Skagit Subyearling,0.018754322000807854
gelatinous zooplankton increase,1_2,3,CSY,Chinook Skagit Yearling,0.24142969026646757
gelatinous zooplankton increase,1_2,3,CYE,Chinook other Yearling,0.3050335315432848
gelatinous zooplankton increase,1_2,3,PIS,Pink Salmon Subyearling,0.8122657514677565
gelatinous zooplankton increase,1_2,3,SAF,Strait of Georgia salmonids,0.1932264193827259
gelatinous zooplankton increase,1_2,3,SAL,Other salmonids,0.7175293969848261
gelatinous zooplankton increase,1_2,4,CDS,Chinook Duwamish Subyearling,0.22997186967656286
gelatinous zooplankton increase,1_2,4,CHC,Chinook Hood Canal Subyearling,2.1157515231367215e-4
gelatinous zooplankton increase,1_2,4,CHS,Chinook Hatch Subyearling,0.27485032781921126
gelatinous zooplankton increase,1_2,4,CHY,Chinook Hatch Yearling,0.2894556017571011
gelatinous zooplankton increase,1_2,4,CKS,Chinook other Subyearling,0.33903151047210844
gelatinous zooplankton increase,1_2,4,CMF,Chum Fall Subyearling,0.4693334693114026
gelatinous zooplankton increase,1_2,4,CMH,Chum Hood Canal summer run Subyearling,0.4984174758464839
gelatinous zooplankton increase,1_2,4,CMS,Chum Hatch Subyearling,0.7113538131698859
gelatinous zooplankton increase,1_2,4,CNS,Chinook Nisqually Subyearling,0.67343313387365
gelatinous zooplankton increase,1_2,4,CNY,Chinook Nisqually Yearling,0.06028542025326043
gelatinous zooplankton increase,1_2,4,COD,Coho Deep South Yearling,0.1645401216865426
gelatinous zooplankton increase,1_2,4,COH,Coho Hatch Yearling,0.2573225126261548
gelatinous zooplankton increase,1_2,4,COS,Coho Skagit Yearling,0.40473232302422363
gelatinous zooplankton increase,1_2,4,COY,Coho other Yearling,0.6439631980089879
gelatinous zooplankton increase,1_2,4,CSN,Chinook Snohomish Subyearling,0.11164820208012487
gelatinous zooplankton increase,1_2,4,CSS,Chinook Skagit Subyearling,0.01878634264356717
gelatinous zooplankton increase,1_2,4,CSY,Chinook Skagit Yearling,0.235799134563132
gelatinous zooplankton increase,1_2,4,CYE,Chinook other Yearling,0.30487399081233635
gelatinous zooplankton increase,1_2,4,PIS,Pink Salmon Subyearling,0.8123030488509174
gelatinous zooplankton increase,1_2,4,SAF,Strait of Georgia salmonids,0.1931068202719711
gelatinous zooplankton increase,1_2,4,SAL,Other salmonids,0.7159702758653947
gelatinous zooplankton increase,1_2,5,CDS,Chinook Duwamish Subyearling,0.19168041882365183
gelatinous zooplankton increase,1_2,5,CHC,Chinook Hood Canal Subyearling,4.8231391722753546e-4
gelatinous zooplankton increase,1_2,5,CHS,Chinook Hatch Subyearling,0.27093786965508565
gelatinous zooplankton increase,1_2,5,CHY,Chinook Hatch Yearling,0.29470043019777514
gelatinous zooplankton increase,1_2,5,CKS,Chinook other Subyearling,0.28154131149512407
gelatinous zooplankton increase,1_2,5,CMF,Chum Fall Subyearling,0.7321449486201418
gelatinous zooplankton increase,1_2,5,CMH,Chum Hood Canal summer run Subyearling,0.603815415406502
gelatinous zooplankton increase,1_2,5,CMS,Chum Hatch Subyearling,0.7324990386750941
gelatinous zooplankton increase,1_2,5,CNS,Chinook Nisqually Subyearling,0.14867967387935602
gelatinous zooplankton increase,1_2,5,CNY,Chinook Nisqually Yearling,0.07485614656851555
gelatinous zooplankton increase,1_2,5,COD,Coho Deep South Yearling,0.1938825325117376
gelatinous zooplankton increase,1_2,5,COH,Coho Hatch Yearling,0.24981417997312047
gelatinous zooplankton increase,1_2,5,COS,Coho Skagit Yearling,0.49948643316045216
gelatinous zooplankton increase,1_2,5,COY,Coho other Yearling,0.6537254037078817
gelatinous zooplankton increase,1_2,5,CSN,Chinook Snohomish Subyearling,0.09256035482491262
gelatinous zooplankton increase,1_2,5,CSS,Chinook Skagit Subyearling,0.0067871884254136405
gelatinous zooplankton increase,1_2,5,CSY,Chinook Skagit Yearling,0.14420119308319856
gelatinous zooplankton increase,1_2,5,CYE,Chinook other Yearling,0.20968840368700264
gelatinous zooplankton increase,1_2,5,PIS,Pink Salmon Subyearling,0.7944060407700824
gelatinous zooplankton increase,1_2,5,SAF,Strait of Georgia salmonids,0.1901196056265979
gelatinous zooplankton increase,1_2,5,SAL,Other salmonids,0.6369958591236129
gelatinous zooplankton increase,1_2,6,CDS,Chinook Duwamish Subyearling,0.17827013742863287
gelatinous zooplankton increase,1_2,6,CHC,Chinook Hood Canal Subyearling,2.8804506021239134e-4
gelatinous zooplankton increase,1_2,6,CHS,Chinook Hatch Subyearling,0.27436042931046534
gelatinous zooplankton increase,1_2,6,CHY,Chinook Hatch Yearling,0.3069970897867106
gelatinous zooplankton increase,1_2,6,CKS,Chinook other Subyearling,0.3122456125317054
gelatinous zooplankton increase,1_2,6,CMF,Chum Fall Subyearling,0.732341310457505
gelatinous zooplankton increase,1_2,6,CMH,Chum Hood Canal summer run Subyearling,0.6050329922110471
gelatinous zooplankton increase,1_2,6,CMS,Chum Hatch Subyearling,0.7324950347234587
gelatinous zooplankton increase,1_2,6,CNS,Chinook Nisqually Subyearling,0.1479385148890477
gelatinous zooplankton increase,1_2,6,CNY,Chinook Nisqually Yearling,0.07128286700880923
gelatinous zooplankton increase,1_2,6,COD,Coho Deep South Yearling,0.1980629476954089
gelatinous zooplankton increase,1_2,6,COH,Coho Hatch Yearling,0.25217940297860547
gelatinous zooplankton increase,1_2,6,COS,Coho Skagit Yearling,0.4793415993653086
gelatinous zooplankton increase,1_2,6,COY,Coho other Yearling,0.6484491887415922
gelatinous zooplankton increase,1_2,6,CSN,Chinook Snohomish Subyearling,0.10329986070811518
gelatinous zooplankton increase,1_2,6,CSS,Chinook Skagit Subyearling,0.012504298608156977
gelatinous zooplankton increase,1_2,6,CSY,Chinook Skagit Yearling,0.19539943904208074
gelatinous zooplankton increase,1_2,6,CYE,Chinook other Yearling,0.30343362719766004
gelatinous zooplankton increase,1_2,6,PIS,Pink Salmon Subyearling,0.780150123529494
gelatinous zooplankton increase,1_2,6,SAF,Strait of Georgia salmonids,0.19117690564130563
gelatinous zooplankton increase,1_2,6,SAL,Other salmonids,0.7070927899824874
gelatinous zooplankton increase,1_2,7,CDS,Chinook Duwamish Subyearling,0.23774994804045238
gelatinous zooplankton increase,1_2,7,CHC,Chinook Hood Canal Subyearling,3.067721103894128e-5
gelatinous zooplankton increase,1_2,7,CHS,Chinook Hatch Subyearling,0.22702909274965316
gelatinous zooplankton increase,1_2,7,CHY,Chinook Hatch Yearling,0.20794762074075018
gelatinous zooplankton increase,1_2,7,CKS,Chinook other Subyearling,0.22832063969423974
gelatinous zooplankton increase,1_2,7,CMF,Chum Fall Subyearling,0.6182328623818535
gelatinous zooplankton increase,1_2,7,CMH,Chum Hood Canal summer run Subyearling,0.5657495714238886
gelatinous zooplankton increase,1_2,7,CMS,Chum Hatch Subyearling,0.724238698260981
gelatinous zooplankton increase,1_2,7,CNS,Chinook Nisqually Subyearling,0.4193336389124036
gelatinous zooplankton increase,1_2,7,CNY,Chinook Nisqually Yearling,0.1249301613376597
gelatinous zooplankton increase,1_2,7,COD,Coho Deep South Yearling,0.21913221800369057
gelatinous zooplankton increase,1_2,7,COH,Coho Hatch Yearling,0.26013709506556115
gelatinous zooplankton increase,1_2,7,COS,Coho Skagit Yearling,0.6571236925892289
gelatinous zooplankton increase,1_2,7,COY,Coho other Yearling,0.657091790615493
gelatinous zooplankton increase,1_2,7,CSN,Chinook Snohomish Subyearling,0.032956469046820064
gelatinous zooplankton increase,1_2,7,CSS,Chinook Skagit Subyearling,0.002978862765531737
